R_accel_x,R_accel_y,R_accel_z,R_gyro_x,R_gyro_y,R_gyro_z,R_temperature,R_flex_raw_1,R_flex_raw_2,R_flex_raw_3,R_flex_raw_4,R_flex_raw_5,L_accel_x,L_accel_y,L_accel_z,L_gyro_x,L_gyro_y,L_gyro_z,L_temperature,L_flex_raw_1,L_flex_raw_2,L_flex_raw_3,L_flex_raw_4,L_flex_raw_5,Result
6.89,0.69,-3.03,0,0.03,0.01,26.59,731,819,2006,99,873,-3.22,6.56,1.2,-0.07,-0.01,0.04,25.75,815,572,1960,671,735,rest posture
9.47,0.43,-4.15,-0.08,-0.05,0.02,27.13,785,838,2019,133,895,-4.22,8.63,1.33,-0.03,-0.07,-0.01,26.26,815,569,1960,662,711,rest posture
8.86,0.85,-4.49,0.05,0,0.01,27.23,760,847,2021,123,859,-4.1,8.81,1.29,-0.04,-0.01,0.04,26.39,760,573,1951,662,732,rest posture
8.96,0.9,-4.31,0,-0.02,0,27.32,663,749,1957,11,807,-4.28,8.73,1.31,-0.06,-0.01,0.03,26.52,762,574,1948,651,731,rest posture
9.03,1.05,-4.28,0,-0.01,-0.04,27.43,661,747,1964,5,796,-4.22,8.67,1.47,-0.06,0,0.05,26.6,797,571,1950,658,735,rest posture
9.02,1.06,-4.25,0,0,-0.01,27.53,662,743,1961,0,807,-4.19,8.65,1.39,-0.08,0,0.03,26.64,812,576,1957,661,739,rest posture
9.07,1.15,-4.1,-0.04,0,-0.01,27.62,665,747,1959,0,793,-4.46,8.53,1.31,-0.05,-0.01,0.04,26.75,668,555,1947,662,742,rest posture
9.53,1.98,-6.51,0.07,-1.18,-0.34,27.75,670,738,1959,0,809,-4.45,8.64,1.23,-0.06,-0.01,0.06,26.81,805,570,1951,666,734,rest posture
8.92,0.58,-4.62,-0.02,0,-0.03,27.78,777,861,2029,116,877,-4.3,8.67,1.33,-0.07,-0.03,0.02,26.83,805,569,1948,659,729,rest posture
9.28,0.99,-4.69,0.15,-0.15,0.04,27.82,903,985,2109,276,999,-4.35,8.63,1.47,-0.08,-0.02,0.02,26.91,811,569,1956,654,733,rest posture
8.81,-0.21,-5.06,0.08,0.01,-0.02,27.94,743,843,2009,99,830,-4.23,8.69,1.34,-0.05,-0.05,0.03,26.98,813,573,1955,655,729,rest posture
8.81,-0.74,-4.96,-0.07,0.03,-0.04,28,828,895,2042,203,870,-4.27,8.72,1.81,-0.09,-0.04,-0.05,27,807,558,1955,655,731,rest posture
8.56,-0.95,-5.58,-0.02,0.03,0.03,28.05,733,809,1977,47,775,-4.23,8.96,1.24,-0.03,-0.08,0.05,27.05,793,573,1955,661,738,rest posture
9.29,-1.47,-3.79,0.02,-0.05,-0.11,28.09,747,859,2026,137,845,-4.47,8.71,1.07,-0.01,-0.04,0.04,27.12,804,567,1951,657,733,rest posture
-5.97,0.52,-5.51,-2.23,-2.54,-0.02,28.17,671,776,1261,1270,544,-4.27,8.46,1.42,-0.03,-0.04,0.04,27.15,816,580,1959,660,737,number 1
8.08,-0.65,-6.04,0.02,-0.08,-0.04,28.22,585,755,1960,21,0,-4.29,8.67,1.3,-0.06,-0.07,0,27.19,811,564,1952,657,737,number 1
7.59,-0.31,-6.78,-0.23,0.63,-0.14,28.25,790,1471,2471,495,317,-4.26,8.66,1.33,-0.07,-0.03,-0.01,27.24,807,568,1959,659,739,number 1
-1.76,1.25,-8.68,-0.67,-3.45,-0.99,28.32,873,807,1338,1362,97,-4.3,8.78,0.93,-0.06,-0.01,0.03,27.28,804,605,1951,662,727,number 1
8.68,-0.4,-7.1,0.51,0.78,-0.16,28.34,888,1003,2039,263,471,-4.17,8.8,1.27,-0.02,-0.1,-0.05,27.37,805,559,1961,664,743,number 1
-9.1,-1.41,-3.31,-0.1,-0.02,-0.05,28.41,529,765,1240,1241,9,-4.42,8.77,0.84,-0.03,0,-0.15,27.43,798,559,1958,661,742,number 1
8.13,-0.4,-6.02,-0.04,0,-0.04,28.42,684,819,1979,51,39,-3.9,9.43,0.9,-0.78,0.31,0.36,27.46,803,563,1959,659,737,number 1
-8.88,-0.5,-1.1,0.31,0.96,-1.04,28.47,729,789,1277,1267,0,-4.23,8.68,1.45,-0.1,-0.04,0,27.49,803,571,1955,659,731,number 1
8.83,-0.72,-5.51,0.1,0.04,0.05,28.5,607,788,1961,13,13,-4.47,8.6,1.19,-0.09,-0.04,-0.06,27.52,804,571,1951,663,739,number 1
8.63,-0.75,-5.04,-0.01,0,-0.06,28.57,605,774,1960,0,9,-4.58,8.45,1.03,-0.12,0.01,0.11,27.56,805,567,1948,660,734,number 1
4.66,-1.66,-11.63,-0.83,2.63,0.4,28.6,601,773,1951,0,17,-4.63,8.48,1.13,-0.08,-0.01,0.04,27.59,805,569,1934,669,734,number 1
-9.2,-0.55,-2.81,-0.05,0.03,0.01,28.66,463,757,1257,1211,0,-4.36,8.62,1.3,-0.06,-0.05,0,27.62,809,556,1955,665,734,number 1
-10.07,-1.03,-2.9,-0.04,-0.13,0.35,28.68,312,766,1257,1247,10,-4.47,8.55,1.18,-0.11,-0.02,0.04,27.64,800,571,1955,661,738,number 1
9.49,-0.58,-3.46,-0.06,-0.02,0.01,28.68,602,767,1964,7,11,-4.47,8.65,1.31,-0.05,-0.02,0.02,27.66,803,563,1961,660,743,number 1
-2.78,-0.81,-7.95,-0.05,3.77,0.58,28.69,520,787,1952,18,4,-4.7,8.48,0.42,-0.05,-0.1,0.02,27.66,799,553,1955,663,739,number 1
-7.99,-0.6,-4,-0.96,-1.55,-0.85,28.67,439,765,1246,1250,0,-4.55,8.48,1.23,-0.06,-0.01,0.03,27.64,789,568,1951,662,743,number 1
9.3,-0.54,-4.07,0.05,-0.01,-0.01,28.67,581,759,1957,0,4,-4.58,8.42,1.3,-0.06,-0.04,0.02,27.64,805,568,1949,654,741,number 1
9.6,-1.18,-2.44,0.04,-0.01,-0.03,28.67,560,748,1951,0,0,-4.63,8.47,1.26,-0.07,-0.04,0,27.6,781,575,1951,663,741,number 1
-9.15,-0.9,-3.19,-0.02,0.04,0.01,28.68,364,762,1248,1251,0,-4.78,8.4,1.06,-0.06,0,0.06,27.62,804,573,1951,667,741,number 1
-4.47,-1.24,-7.18,-0.77,-2.67,-0.55,28.63,629,761,1288,1298,5,-4.51,8.61,1.02,-0.03,-0.01,0.02,27.62,805,565,1951,659,733,number 1
9.2,-1.35,-3.54,-0.07,0.08,0.03,28.59,535,751,1956,0,0,-4.37,8.76,1.17,-0.1,0.01,0.03,27.61,809,574,1951,666,728,rest posture
0.1,-1.65,-10.99,0.1,1.74,-0.06,28.56,747,819,1989,44,60,-4.66,8.55,1,-0.06,-0.02,0.01,27.57,813,571,1957,655,735,rest posture
9.17,-1.45,-3.95,0,-0.05,-0.02,28.55,583,762,1957,0,0,-4.3,8.44,1.32,-0.04,-0.09,-0.02,27.57,815,574,1959,659,735,rest posture
9.35,-1.39,-3.53,-0.02,-0.01,-0.03,28.57,585,745,1959,0,0,-4.26,8.67,1.01,-0.07,-0.01,0.02,27.56,813,571,1957,662,726,rest posture
9.38,-1.33,-3.37,-0.01,-0.01,0,28.6,605,786,1967,41,23,-4.35,8.69,0.93,-0.05,-0.01,0.03,27.55,812,574,1961,651,739,rest posture
9.44,-1.27,-3.31,-0.02,-0.02,0,28.62,883,1074,2147,357,362,-4.36,8.82,1.1,-0.05,-0.01,0.04,27.53,808,566,1957,667,731,rest posture
9.34,-1.28,-3.44,-0.03,0,0,28.64,618,793,1971,23,10,-4.34,8.61,0.95,-0.07,0,0.02,27.54,847,646,1967,687,733,rest posture
